query_name,collision_type_energy,filename,query,scan,precmz,ms1scan,rt,charge,i,i_norm,mslevel,i_norm_ms1,collision_type,energy,measured_RT,rtmin,rtmax,group,abundance_error,abundance_valid,imputed
L-Carnitine_MS2,HCD__20.0,ms_data_01.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,182,229.118377685547,181,0.576822636533,1,184042218.546875,1.0,2,0.0028998213158547862,HCD,20.0,0.576822636533,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__20.0,ms_data_02.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,108,161.029449462891,107,0.356221321333,1,30951268.212402344,1.0,2,,HCD,20.0,0.356221321333,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__20.0,ms_data_03.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,117,203.039932250977,116,0.388710267467,1,7707971.742675781,1.0,2,,HCD,20.0,0.388710267467,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__20.0,ms_data_04.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,102,162.032653808594,101,0.339946210933,1,16305218.47680664,1.0,2,,HCD,20.0,0.339946210933,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__30.0,ms_data_01.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,157,114.066207885742,156,0.5017254864,1,400820686.453125,1.0,2,0.030100255953521386,HCD,30.0,0.5017254864,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__30.0,ms_data_02.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,106,161.029479980469,104,0.351153189867,1,24440906.985839844,1.0,2,,HCD,30.0,0.351153189867,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__30.0,ms_data_03.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,102,161.040191650391,101,0.340349718933,0,43502832.03540039,1.0,2,,HCD,30.0,0.340349718933,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__30.0,ms_data_04.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,109,142.035003662109,107,0.363052816533,0,13495323.093017578,1.0,2,,HCD,30.0,0.363052816533,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__40.0,ms_data_01.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,293,169.035705566406,292,0.936896412267,1,108114454.80273438,1.0,2,0.0002775702656140346,HCD,40.0,0.936896412267,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__40.0,ms_data_02.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,153,118.0859375,152,0.500937828,1,19487896.020751953,1.0,2,0.035615676395608455,HCD,40.0,0.500937828,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__40.0,ms_data_03.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,231,121.039604187012,230,0.7559383128,1,5317068.420654297,1.0,2,0.004303789173623062,HCD,40.0,0.7559383128,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__40.0,ms_data_04.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,111,274.974975585938,110,0.367970145333,1,14056783.17602539,1.0,2,,HCD,40.0,0.367970145333,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__60.0,ms_data_01.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,188,144.101821899414,187,0.5947657544,1,137211425.56445312,1.0,2,0.0017772804250400227,HCD,60.0,0.5947657544,0.35,0.65,,,,False
L-Carnitine_MS2,HCD__60.0,ms_data_02.mzML,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,109,121.016250610352,107,0.3606419464,1,16342239.16381836,1.0,2,,HCD,60.0,0.3606419464,0.35,0.65,,,,False
