,scan,precmz,ms1scan,rt,charge,i,i_norm,mslevel,i_norm_ms1,filename,query_name,query,collision_type,energy,collision_type_energy
0,3,159.007217407227,2,0.012708638933,0,4744046.025390625,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,20.0,HCD__20.0
1,4,126.091339111328,2,0.017132378933,1,345555.3933105469,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,30.0,HCD__30.0
2,6,159.007171630859,5,0.022608714133,0,5141083.452392578,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,20.0,HCD__20.0
3,7,126.091384887695,5,0.0270324968,1,307773.54931640625,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,30.0,HCD__30.0
4,9,177.017868041992,8,0.032462921333,0,14250395.727294922,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,20.0,HCD__20.0
5,10,233.993179321289,8,0.036885836533,0,3030624.977783203,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,20.0,HCD__20.0
6,12,177.01806640625,11,0.042007468,0,13067806.16381836,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,20.0,HCD__20.0
7,13,233.993408203125,11,0.046432137067,0,3081034.5158691406,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,20.0,HCD__20.0
8,15,191.982696533203,14,0.0515416336,0,6638827.393066406,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,30.0,HCD__30.0
9,16,176.980743408203,14,0.055963814133,0,13523229.39819336,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,20.0,HCD__20.0
10,18,191.982559204102,17,0.061017818133,0,6600559.526123047,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,30.0,HCD__30.0
11,19,176.980667114258,17,0.0654410408,0,13619989.078857422,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,20.0,HCD__20.0
12,21,237.988235473633,20,0.070499564,0,453670.62939453125,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,30.0,HCD__30.0
13,22,236.990478515625,20,0.074922682667,0,769659.7375488281,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,20.0,HCD__20.0
14,24,237.988327026367,23,0.079992809333,0,443101.7292480469,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,30.0,HCD__30.0
15,25,173.97200012207,23,0.084415964,0,682227.1921386719,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,30.0,HCD__30.0
16,27,258.921844482422,26,0.089979474133,0,85752.38452148438,1.0,2,,ms_data_01.mzML,L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,HCD,30.0,HCD__30.0
